team,team_short,first_year,last_year,W,L,T,W_L_pct,AV,Passer,Rusher,Receiver,Coaching,plyf,Chmp,SBwl,Conf,Div,hex,pop,text,years_since
Detroit Lions,Lions,1930,2015,535,634,32,0.458,Sanders,Stafford,Sanders,Johnson,Fontes,16,4,0,0,8,#005A8B,0,"<p>That's embarrassing. The <span class='team-name'>Detroit Lions</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Green Bay Packers,Packers,1921,2015,720,547,37,0.568,Favre,Favre,Green,Driver,Lambeau,31,13,4,5,27,#203731,"307,000,000","<p>Well, aren't you lucky! The <span class='team-name'>Green Bay Packers</span> have won as recently as <span class='team-name'>2011</span>, only <span class='team-name'>5</span> years ago. That means <span class='team-name'>307,000,000</span> Americans alive today were around when the Packers won.</p>",5
Houston Texans,Texans,2002,2015,97,127,0,0.433,Johnson,Schaub,Foster,Johnson,Kubiak,3,0,0,0,3,#03202F,0,"<p>That's embarrassing. The <span class='team-name'>Houston Texans</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Indianapolis Colts,Colts,1953,2015,494,433,7,0.533,Manning,Manning,James,Harrison,Dungy,27,4,2,4,21,#002C5F,"291,000,000","<p>That's not too bad. The <span class='team-name'>Indianapolis Colts</span> last won the Super Bowl in <span class='team-name'>2007</span>, <span class='team-name'>9</span> years ago. That means <span class='team-name'>291,000,000</span> Americans alive today were around Colts won.</p>",9
Jacksonville Jaguars,Jaguars,1995,2015,152,184,0,0.452,Smith,Brunell,Taylor,Smith,Coughlin,6,0,0,0,2,#006778,0,"<p>That's embarrassing. The <span class='team-name'>Jacksonville Jaguars</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Kansas City Chiefs,Chiefs,1960,2015,435,405,12,0.518,Shields,Dawson,Charles,Gonzalez,Stram,18,2,1,2,9,#FFB612,"134,200,000","<p>Does this count as a curse? The <span class='team-name'>Kansas City Chiefs</span> haven't won since <span class='team-name'>1970</span>, <span class='team-name'>46</span> years ago. That means <span class='team-name'>134,200,000</span> Americans alive today were around when your team won.</p>",46
Miami Dolphins,Dolphins,1966,2015,429,335,4,0.561,Marino,Marino,Csonka,Duper,Shula,22,2,2,5,14,#008E97,"150,400,000","<p>Does this count as a curse? The <span class='team-name'>Miami Dolphins</span> haven't won since <span class='team-name'>1974</span>, <span class='team-name'>42</span> years ago. That means <span class='team-name'>150,400,000</span> Americans alive today were around when your team won.</p>",42
Minnesota Vikings,Vikings,1961,2015,449,379,10,0.542,Eller,Tarkenton,Peterson,Carter,Grant,28,0,0,4,19,#4F2683,0,"<p>That's embarrassing. The <span class='team-name'>Minnesota Vikings</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
New England Patriots,Patriots,1960,2015,462,381,9,0.548,Brady,Brady,Cunningham,Morgan,Belichick,23,4,4,8,18,#002244,"319,000,000","<p>Well, aren't you lucky! The <span class='team-name'>New England Patriots</span> have won as recently as <span class='team-name'>2015</span>, only <span class='team-name'>1</span> year ago. That means <span class='team-name'>319,000,000</span> Americans alive today were around when the Patriots won.</p>",1
New Orleans Saints,Saints,1967,2015,331,418,5,0.442,Brees,Brees,McAllister,Colston,Mora,10,1,1,1,5,#9F8958,"303,000,000","<p>That's not too bad. The <span class='team-name'>New Orleans Saints</span> last won the Super Bowl in <span class='team-name'>2010</span>, <span class='team-name'>6</span> years ago. That means <span class='team-name'>303,000,000</span> Americans alive today were around Saints won.</p>",6
New York Giants,Giants,1925,2015,673,567,33,0.543,Taylor,Manning,Barber,Toomer,Owen,31,8,4,5,25,#0B2265,"311,000,000","<p>Well, aren't you lucky! The <span class='team-name'>New York Giants</span> have won as recently as <span class='team-name'>2012</span>, only <span class='team-name'>4</span> years ago. That means <span class='team-name'>311,000,000</span> Americans alive today were around when the Giants won.</p>",4
New York Jets,Jets,1960,2015,387,457,8,0.459,Maynard,Namath,Martin,Maynard,Ewbank,14,1,1,1,4,#203731,"129,800,000","<p>Does this count as a curse? The <span class='team-name'>New York Jets</span> haven't won since <span class='team-name'>1969</span>, <span class='team-name'>47</span> years ago. That means <span class='team-name'>129,800,000</span> Americans alive today were around when your team won.</p>",47
Oakland Raiders,Raiders,1960,2015,444,397,11,0.528,Otto,Stabler,Allen,Brown,Madden,21,3,3,5,16,#A5ACAF,"191,800,000","<p>The <span class='team-name'>Oakland Raiders</span> haven't won since <span class='team-name'>1984</span>, <span class='team-name'>32</span> years ago. That means while <span class='team-name'>191,800,000</span> Americans alive today were around when they won, millennials likely have no memory of your team's victory.</p>",32
Philadelphia Eagles,Eagles,1933,2015,548,582,26,0.485,White,McNabb,McCoy,Carmichael,Reid,24,3,0,2,13,#004953,0,"<p>That's embarrassing. The <span class='team-name'>Philadelphia Eagles</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Pittsburgh Steelers,Steelers,1933,2015,590,530,20,0.527,Webster,Roethlisberger,Harris,Ward,Noll,29,6,6,8,24,#FFB612,"299,000,000","<p>That's not too bad. The <span class='team-name'>Pittsburgh Steelers</span> last won the Super Bowl in <span class='team-name'>2009</span>, <span class='team-name'>7</span> years ago. That means <span class='team-name'>299,000,000</span> Americans alive today were around Steelers won.</p>",7
San Diego Chargers,Chargers,1960,2015,421,420,11,0.501,Seau,Fouts,Tomlinson,Gates,Gillman,18,1,0,1,15,#FFB612,0,"<p>That's embarrassing. The <span class='team-name'>San Diego Chargers</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
San Francisco 49ers,Niners,1946,2015,558,450,16,0.553,Rice,Montana,Gore,Rice,Seifert,26,5,5,6,20,#AA0000,"241,000,000","<p>The <span class='team-name'>San Francisco 49ers</span> haven't won since <span class='team-name'>1995</span>, <span class='team-name'>21</span> years ago. That means <span class='team-name'>241,000,000</span> Americans alive today were around when the Niners won. Could be worse.</p>",21
Seattle Seahawks,Seahawks,1976,2015,315,313,0,0.502,Largent,Hasselbeck,Alexander,Largent,Holmgren,15,1,1,3,9,#69BE28,"319,000,000","<p>Well, aren't you lucky! The <span class='team-name'>Seattle Seahawks</span> have won as recently as <span class='team-name'>2014</span>, only <span class='team-name'>2</span> years ago. That means <span class='team-name'>319,000,000</span> Americans alive today were around when the Seahawks won.</p>",2
Los Angeles Rams,Rams,1937,2015,540,542,21,0.499,Olsen,Everett,Jackson,Bruce,Robinson,27,3,1,3,20,#002244,0,"<p>That's embarrassing. The <span class='team-name'>Los Angeles Rams</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Tampa Bay Buccaneers,Bucs,1976,2015,241,386,1,0.385,Brooks,Testaverde,Wilder,Carrier,Gruden,10,1,1,1,6,#D50A0A,"274,000,000","<p>The <span class='team-name'>Tampa Bay Buccaneers</span> won the Super Bowl back in <span class='team-name'>2003</span>, <span class='team-name'>13</span> years ago. That means <span class='team-name'>274,000,000</span> Americans alive today were around when Bucs won.</p>",13
Tennessee Titans,Titans,1960,2015,404,442,6,0.478,Matthews,Moon,George,Givins,Fisher,21,2,0,1,9,#4B92DB,0,"<p>That's embarrassing. The <span class='team-name'>Tennessee Titans</span> have never won a Super Bowl, which means no one alive (or dead) has ever seen it.</p>",9999
Washington Redskins,Redskins,1932,2015,578,565,27,0.506,Green,Theismann,Riggins,Monk,Gibbs,24,5,3,5,15,#773141,"227,800,000","<p>The <span class='team-name'>Washington Redskins</span> haven't won since <span class='team-name'>1992</span>, <span class='team-name'>24</span> years ago. That means <span class='team-name'>227,800,000</span> Americans alive today were around when the Redskins won. Could be worse.</p>",24
